,Duration,Type,Call Status,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
386,118,Current Customer,Current Customer,721154717.0,1,0.7071067811865476,0.49999999999999994,-0.7071067811865471,-0.5000000000000004,0.8660254037844387,0.5000000000000004
390,117,Service,New Prospect,1048207002.0,1,0.8660254037844387,0.49999999999999994,-2.4492935982947064e-16,-0.8660254037844388,0.8660254037844387,0.8660254037844378
397,434,Service,New Prospect,1045468204.0,0,0.7071067811865476,0.8660254037844386,0.7071067811865476,-0.5000000000000004,6.123233995736766e-17,-0.5000000000000004
405,187,Service,Existing Customer Prospect,1049768678.0,0,0.8660254037844387,0.0,-0.8660254037844385,-0.8660254037844388,0.8660254037844387,1.1943401194869635e-15
411,425,Sales,New Prospect,683023117.0,1,0.8660254037844386,0.25881904510252074,0.5000000000000003,6.123233995736766e-17,1.0,-1.8369701987210297e-16
429,384,Service,Existing Customer Prospect,1064290606.0,0,0.9659258262890682,0.7071067811865476,0.258819045102521,-0.4999999999999998,0.5000000000000001,0.49999999999999933
451,384,Service,Existing Customer Prospect,1077622354.0,2,0.7071067811865476,0.49999999999999994,0.8660254037844387,0.5000000000000001,0.8660254037844387,-0.8660254037844388
468,309,Service,New Prospect,746642373.0,2,1.2246467991473532e-16,0.7071067811865476,-0.8660254037844385,0.8660254037844384,0.5000000000000001,1.1943401194869635e-15
489,379,Service,New Prospect,1030242217.0,0,1.2246467991473532e-16,0.8660254037844386,-0.25881904510252035,0.8660254037844384,6.123233995736766e-17,1.0
579,374,Service,New Prospect,1068420587.0,0,0.9659258262890682,0.0,0.258819045102521,-0.4999999999999998,0.8660254037844387,0.49999999999999933
581,372,Service,Existing Customer Prospect,1033401293.0,0,0.258819045102521,0.0,0.7071067811865476,0.49999999999999933,0.8660254037844387,-0.5000000000000004
616,363,Service,New Prospect,1073941566.0,0,0.8660254037844386,0.49999999999999994,-0.4999999999999997,6.123233995736766e-17,0.8660254037844387,0.866025403784439
622,349,Service,New Prospect,731618763.0,0,0.5000000000000003,0.49999999999999994,0.7071067811865476,-1.8369701987210297e-16,0.8660254037844387,-0.5000000000000004
626,349,Service,Existing Customer Prospect,671682850.0,2,0.49999999999999994,0.49999999999999994,0.8660254037844387,0.8660254037844387,0.8660254037844387,-0.8660254037844388
677,247,Service,New Prospect,671625899.0,2,0.49999999999999994,0.25881904510252074,-0.9659258262890681,0.8660254037844387,1.0,-0.4999999999999992
730,342,Service,Existing Customer Prospect,1045158953.0,1,0.7071067811865476,0.0,0.7071067811865476,-0.5000000000000004,0.8660254037844387,-0.5000000000000004
762,332,Service,Existing Customer Prospect,1029970170.0,1,1.2246467991473532e-16,0.0,0.258819045102521,0.8660254037844384,0.8660254037844387,0.49999999999999933
775,299,Service,New Prospect,691974283.0,1,0.9659258262890682,0.7071067811865476,-0.4999999999999997,-0.4999999999999998,0.5000000000000001,0.866025403784439
788,184,Service,New Prospect,691857482.0,1,0.9659258262890682,0.7071067811865476,0.5000000000000003,-0.4999999999999998,0.5000000000000001,-1.8369701987210297e-16
801,181,Service,New Prospect,701704499.0,1,1.0,0.49999999999999994,-0.4999999999999997,-0.8660254037844385,0.8660254037844387,0.866025403784439
814,167,Service,Existing Customer Prospect,695344380.0,1,1.0,0.8660254037844386,0.5000000000000003,-0.8660254037844385,6.123233995736766e-17,-1.8369701987210297e-16
827,79,Current Customer,Repeat Caller,1060020067.0,1,1.0,0.0,0.5000000000000003,-0.8660254037844385,0.8660254037844387,-1.8369701987210297e-16
840,77,Current Customer,Current Customer,698841118.0,1,1.0,0.8660254037844386,-0.4999999999999997,-0.8660254037844385,6.123233995736766e-17,0.866025403784439
853,71,Current Customer,Current Customer,1060717548.0,1,1.0,0.49999999999999994,-0.4999999999999997,-0.8660254037844385,0.8660254037844387,0.866025403784439
