,Duration,Type,Call Status,Call Id,Match,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
754,277,Service,New Prospect,1035540324.0,0,0.258819045102521,0.0,0.5000000000000003,0.49999999999999933,0.8660254037844387,-1.8369701987210297e-16
764,164,Sales,New Prospect,725873163.0,0,0.5000000000000003,0.0,-0.7071067811865471,-1.8369701987210297e-16,0.8660254037844387,0.5000000000000004
774,96,Sales,New Prospect,741585391.0,0,1.2246467991473532e-16,0.49999999999999994,0.8660254037844387,0.8660254037844384,0.8660254037844387,-0.8660254037844388
777,130,Current Customer,Current Customer,1032523154.0,0,0.258819045102521,0.8660254037844386,0.7071067811865476,0.49999999999999933,6.123233995736766e-17,-0.5000000000000004
780,187,Service,New Prospect,1037856805.0,0,0.5000000000000003,0.0,0.7071067811865476,-1.8369701987210297e-16,0.8660254037844387,-0.5000000000000004
783,126,Service,New Prospect,1031798945.0,1,1.2246467991473532e-16,0.49999999999999994,0.8660254037844387,0.8660254037844384,0.8660254037844387,-0.8660254037844388
797,226,Service,New Prospect,740670257.0,0,0.258819045102521,0.8660254037844386,-0.7071067811865471,0.49999999999999933,6.123233995736766e-17,0.5000000000000004
818,166,Sales,Existing Customer Prospect,715484516.0,0,0.8660254037844387,0.25881904510252074,-0.4999999999999997,-0.8660254037844388,1.0,0.866025403784439
840,519,Service,Existing Customer Prospect,740049880.0,0,0.258819045102521,0.49999999999999994,-0.25881904510252035,0.49999999999999933,0.8660254037844387,1.0
846,309,Sales,New Prospect,728429953.0,0,0.5000000000000003,0.7071067811865476,0.5000000000000003,-1.8369701987210297e-16,0.5000000000000001,-1.8369701987210297e-16
854,372,Service,Existing Customer Prospect,1033401293.0,1,0.258819045102521,0.0,0.7071067811865476,0.49999999999999933,0.8660254037844387,-0.5000000000000004
883,285,Current Customer,Current Customer,1033596385.0,0,0.258819045102521,0.8660254037844386,-0.4999999999999997,0.49999999999999933,6.123233995736766e-17,0.866025403784439
894,84,Current Customer,Answering Service/Call Center,1035662249.0,0,0.258819045102521,0.9659258262890682,-0.25881904510252035,0.49999999999999933,-0.4999999999999998,1.0
905,114,Current Customer,Current Customer,665786802.0,0,0.25881904510252074,0.8660254037844386,0.258819045102521,1.0,6.123233995736766e-17,0.49999999999999933
916,"1,356",Service,New Prospect,1086459588.0,0,0.25881904510252074,0.0,-0.7071067811865471,1.0,0.8660254037844387,0.5000000000000004
929,178,Service,New Prospect,1033721054.0,1,0.258819045102521,0.7071067811865476,0.258819045102521,0.49999999999999933,0.5000000000000001,0.49999999999999933
939,313,Service,New Prospect,730374194.0,1,0.5000000000000003,0.7071067811865476,-0.7071067811865471,-1.8369701987210297e-16,0.5000000000000001,0.5000000000000004
949,185,Sales,New Prospect,665820027.0,1,0.25881904510252074,0.8660254037844386,-2.4492935982947064e-16,1.0,6.123233995736766e-17,0.8660254037844378
961,181,Current Customer,Current Customer,1034365393.0,1,0.258819045102521,0.0,0.9659258262890683,0.49999999999999933,0.8660254037844387,-1.0
962,291,Service,Disconnected in Progress,713932142.0,1,0.8660254037844387,0.49999999999999994,-2.4492935982947064e-16,-0.8660254037844388,0.8660254037844387,0.8660254037844378
967,307,Sales,New Prospect,737062868.0,0,0.258819045102521,0.7071067811865476,0.258819045102521,0.49999999999999933,0.5000000000000001,0.49999999999999933
982,307,Service,Existing Customer Prospect,736536668.0,1,0.258819045102521,0.25881904510252074,-0.4999999999999997,0.49999999999999933,1.0,0.866025403784439
1004,73,Service,Left Message/Voice Mail,735868857.0,1,0.258819045102521,0.9659258262890682,-2.4492935982947064e-16,0.49999999999999933,-0.4999999999999998,0.8660254037844378
1026,223,Service,Existing Customer Prospect,734981569.0,1,0.258819045102521,0.49999999999999994,0.7071067811865476,0.49999999999999933,0.8660254037844387,-0.5000000000000004
1048,151,Service,New Prospect,736356546.0,1,0.258819045102521,0.25881904510252074,0.8660254037844387,0.49999999999999933,1.0,-0.8660254037844388
1052,168,Sales,New Prospect,736074862.0,1,0.258819045102521,0.0,0.7071067811865476,0.49999999999999933,0.8660254037844387,-0.5000000000000004
1054,181,Service,Existing Customer Prospect,1035790489.0,1,0.258819045102521,0.8660254037844386,-0.4999999999999997,0.49999999999999933,6.123233995736766e-17,0.866025403784439
1063,110,Sales,Existing Customer Prospect,1035795286.0,1,0.258819045102521,0.8660254037844386,-0.4999999999999997,0.49999999999999933,6.123233995736766e-17,0.866025403784439
1068,238,Current Customer,Current Customer,733612984.0,1,0.258819045102521,0.7071067811865476,-2.4492935982947064e-16,0.49999999999999933,0.5000000000000001,0.8660254037844378
1074,254,Service,New Prospect,735310556.0,1,0.258819045102521,0.7071067811865476,0.5000000000000003,0.49999999999999933,0.5000000000000001,-1.8369701987210297e-16
1080,323,Service,Existing Customer Prospect,729587405.0,1,0.5000000000000003,0.25881904510252074,0.7071067811865476,-1.8369701987210297e-16,1.0,-0.5000000000000004
1086,226,Service,Existing Customer Prospect,1036383936.0,1,0.258819045102521,0.25881904510252074,-0.4999999999999997,0.49999999999999933,1.0,0.866025403784439
1089,228,Service,Existing Customer Prospect,734719905.0,1,0.258819045102521,0.25881904510252074,0.5000000000000003,0.49999999999999933,1.0,-1.8369701987210297e-16
1092,341,Service,Existing Customer Prospect,1037176662.0,0,0.258819045102521,0.7071067811865476,-0.25881904510252035,0.49999999999999933,0.5000000000000001,1.0
1098,163,Service,New Prospect,1038986582.0,0,0.5000000000000003,0.0,0.7071067811865476,-1.8369701987210297e-16,0.8660254037844387,-0.5000000000000004
1104,183,Sales,New Prospect,725826919.0,0,0.5000000000000003,0.0,-0.4999999999999997,-1.8369701987210297e-16,0.8660254037844387,0.866025403784439
1110,258,Sales,New Prospect,733158841.0,1,0.5000000000000003,0.25881904510252074,-0.7071067811865471,-1.8369701987210297e-16,1.0,0.5000000000000004
1113,198,Service,Existing Customer Prospect,732985416.0,0,0.5000000000000003,0.25881904510252074,0.7071067811865476,-1.8369701987210297e-16,1.0,-0.5000000000000004
1116,484,Service,New Prospect,1037685878.0,0,0.5000000000000003,0.0,-0.8660254037844385,-1.8369701987210297e-16,0.8660254037844387,1.1943401194869635e-15
1121,176,Sales,New Prospect,1038343136.0,1,0.5000000000000003,0.7071067811865476,0.7071067811865476,-1.8369701987210297e-16,0.5000000000000001,-0.5000000000000004
1123,186,Sales,Existing Customer Prospect,731657618.0,0,0.5000000000000003,0.49999999999999994,0.5000000000000003,-1.8369701987210297e-16,0.8660254037844387,-1.8369701987210297e-16
1127,349,Service,New Prospect,731618763.0,1,0.5000000000000003,0.49999999999999994,0.7071067811865476,-1.8369701987210297e-16,0.8660254037844387,-0.5000000000000004
1131,195,Service,New Prospect,731485173.0,1,0.5000000000000003,0.25881904510252074,-0.4999999999999997,-1.8369701987210297e-16,1.0,0.866025403784439
1144,262,Service,New Prospect,731114439.0,1,0.5000000000000003,0.0,-2.4492935982947064e-16,-1.8369701987210297e-16,0.8660254037844387,0.8660254037844378
1157,196,Current Customer,Repeat Caller,715211668.0,1,0.8660254037844387,0.0,-0.8660254037844385,-0.8660254037844388,0.8660254037844387,1.1943401194869635e-15
1170,117,Service,Existing Customer Prospect,1054851120.0,1,0.9659258262890683,0.0,0.258819045102521,-1.0,0.8660254037844387,0.49999999999999933
1183,100,Service,New Prospect,730973505.0,1,0.5000000000000003,0.0,0.9659258262890683,-1.8369701987210297e-16,0.8660254037844387,-1.0
1188,129,Current Customer,Current Customer,1040858174.0,1,0.5000000000000003,0.49999999999999994,-0.8660254037844385,-1.8369701987210297e-16,0.8660254037844387,1.1943401194869635e-15
1193,139,Service,Existing Customer Prospect,1039613539.0,1,0.5000000000000003,0.49999999999999994,-0.7071067811865471,-1.8369701987210297e-16,0.8660254037844387,0.5000000000000004
